Company, Latitude, Longitude, Products
Pelcer , 46.1059625, 19.7007656, VF-2
GrappS doo, 44.6762125, 20.9444531, UMC-500
Elektromotor - Šimon doo, 45.9424875, 20.1278594, VF-2SS; VF-3SS; VF-6/40HE
Leoni - Kraljevo, 43.73146250000001, 20.6667969, VF-2SS
Reduktori - Niš, 43.3041125, 21.9485469, ST-30
Politehnika - Škola za nove tehnologije, 44.8354375, 20.3736406, VF-2; ST-10Y
CIP doo, 43.7298125, 20.7178906, Tornos CT-20/5II; Tornos Swiss Nano 7
Element 2018, 44.7494125, 19.6620469, MiniMill; SL-20
JOMI-ING, 45.3083625, 19.9029219, VF-2SS; VF-9 / TR200Y; ST-10Y; ST-30Y; VM-3
NS-STEEL 1989 doo, 45.2470625, 19.7836406, VF-2SSYT-EU
TERMIČKA OBRADA METALA VUJOŠEVIĆ, 44.4348125, 20.6573125, SL-20THE
Škapina doo, 43.8539875, 20.3454219, VF-5/50
Ivavet doo, 45.2359625, 19.6255469, VF-2SSYT-EU
PRDC doo, 44.8766375, 20.1149844, ST-10; TM-2P; TM-3P; UMC-750SS
M.J.R. COMPANI - SZR JOVAN MAJKIĆ PR, 45.0539125, 20.0786094, VM-3
M PROJECT CO. DOO, 43.8918123, 20.3678118, Matsura VX-1000
Eurowin, 45.2707625, 20.0892969, VF-3SSYT; VF-3SSYT; UMC-500
Dmiteh, 43.8941625, 20.3590469, VF-2SS
Megaplast ZTR, 45.7659625, 19.1227031, ST-10Y
B2B Nedakusi, 43.0581875, 19.7710781, ST-35LY
TCS S.E. EUROPE DOO, 45.11188749999999, 21.2787656, VF-2YT-EU
AMS Sistem doo, 43.9998875, 20.9137969, VF-4SS-EU; HRT210SS
HyperMilling, 44.37621250000001, 20.9673594, VF-3
Zlatara Gema, 43.3164625, 21.8912344, VF-2SSYT-EU
