Puni naziv;Skraćeni naziv;Adresa;Pošta i mesto;Region;Matični broj;Poreski br.;Pravni oblik:;Datum osnivanja:;Delatnost:
SAMOSTALNA ZANATSKA RADNJA MIKRON MARA OBRADOVIĆ PREDUZETNIK FUTOG;SZR MIKRON;SIME ŠOLAJE 88;21410 Futog;Južno-Bački;50534073;101628972;Preduzetnik;4.11.1992.;Mašinska obrada metala
SZR MIKRON NOVO SELO;SZR MIKRON;400;;Not Found;51554060;Not Found;Preduzetnik;1.1.0001.;Not Found
PREDUZEĆE ZA INŽENJERING TERMOINŽENJERING DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD;TERMOINŽENJERING DOO BEOGRAD;MILOJA ĐAKA 2;11000 BEOGRAD;Grad Beograd;07468768;100277998;Društvo sa ograničenom odgovornošću;15.1.1990.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, MONTAŽU I SERVISIRANJE LIFTOVA DAVID PAJIĆ DAKA BEOGRAD;DAVID PAJIĆ DAKA DOO;Dunavska 67;11060 BEOGRAD-PALILULA;Grad Beograd;07741731;101520165;Društvo sa ograničenom odgovornošću;1.8.1991.;Proizvodnja opreme za podizanje i prenošenje
PREDUZEĆE ZA INŽENJERING, TRGOVINU I USLUGE BETA UNION DOO, BEOGRAD (SAVSKI VENAC);BETA UNION DOO BEOGRAD;MILOJA ĐAKA 12 B;11000 BEOGRAD;Grad Beograd;20168617;104463798;Društvo sa ograničenom odgovornošću;5.6.2006.;Izgradnja stambenih i nestambenih zgrada
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROMET I USLUGE DAKA-DOLJEVAC KOČANE;DAKA-DOLJEVAC DOO KOČANE;Not Found;18410 Doljevac;Nišavski;07583435;100491593;Društvo sa ograničenom odgovornošću;19.6.2000.;Drumski prevoz tereta
GVF Plants d.o.o. Beograd-Savski Venac;GVF Plants d.o.o.;Miloja Đaka 2 A;11000 BEOGRAD;Grad Beograd;21445487;111228284;Društvo sa ograničenom odgovornošću;9.1.2019.;Gajenje sadnog materijala
LV6 RESIDENCE DOO BEOGRAD-SAVSKI VENAC;LV6 RESIDENCE DOO;MILOJA ĐAKA 12B;11000 BEOGRAD;Grad Beograd;21647632;112310829;Društvo sa ograničenom odgovornošću;19.1.2021.;Izgradnja stambenih i nestambenih zgrada
EMDIRO CONSULTANTS SERVICES DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD-SAVSKI VENAC;EMDIRO CONSULTANTS SERVICES DOO BEOGRAD;MILOJA ĐAKA 16;11000 BEOGRAD;Grad Beograd;20950455;108196611;Društvo sa ograničenom odgovornošću;20.8.2013.;Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem
BACCA BLU D.O.O. BEOGRAD-SAVSKI VENAC;BACCA BLU D.O.O. BEOGRAD;MILOJA ĐAKA 16 1, 8;11000 BEOGRAD;Grad Beograd;21009318;108487381;Društvo sa ograničenom odgovornošću;9.4.2014.;Gajenje ostalog drvenastog, žbunastog i jezgrastog voća
PREDUZEĆE ZA SPOLJNU I UNUTRAŠNJU TRGOVINU BLUE BELL DOO, BEOGRAD (SAVSKI VENAC);BLUE BELL DOO BEOGRAD;MILOJA ĐAKA 28;11000 BEOGRAD;Grad Beograd;17177508;100348780;Društvo sa ograničenom odgovornošću;1.2.1998.;Trgovina na veliko tekstilom
VANA LUX doo Beograd-Savski Venac;VANA LUX doo Beograd-Savski Venac;Miloja Đaka 2a;11000 BEOGRAD;Grad Beograd;21457701;111299007;Društvo sa ograničenom odgovornošću;22.2.2019.;Delatnosti restorana i pokretnih ugostiteljskih objekta
AKCIONARSKO DRUŠTVO ZA PROIZVODNJU I PROMET OTKOVAKA ZASTAVA KOVAČNICA, KRAGUJEVAC;ZASTAVA KOVAČNICA AD KRAGUJEVAC;Kosovska 4b;34000 KRAGUJEVAC;Šumadijski;07631634;100562605;Akcionarsko društvo;28.12.1994.;"Kovanje, presovanje, štancovanje i valjanje metala; metalurgija praha"
DUŽNIK STEČAJNE MASE: AKCIONARSKO DRUŠTVO ZA PROIZVODNJU I PROMET OTKOVAKA ZASTAVA KOVAČNICA, KRAGUJEVAC - U STEČAJU;DUŽNIK STEČAJNE MASE: AKCIONARSKO DRUŠTVO ZA PROIZVODNJU I PROMET OTKOVAKA ZASTAVA KOVAČNICA, KRAGUJ;KOSOVSKA 4B;34000 KRAGUJEVAC;Šumadijski;27005721;110128780;Drugo;18.7.2017.;Not Found
ZASTAVA KOVAČNICA S.S.;ZASTAVA KOVAČNICA S.S.;TRG. TOPOLIVACA 4;34000 KRAGUJEVAC;Šumadijski;17626965;102889626;Not Found;1.1.0001.;Delatnost sindikata
MOMČILO LAZOVIĆ PR, SAMOSTALNA ZANATSKA RADNJA ALATNICA M, ČAČAK;MOMČILO LAZOVIĆ PR, SAMOSTALNA ZANATSKA RADNJA ALATNICA M, ČAČAK;KRALJA PETRA PRVOG 6;32000 Čačak;Moravički;61341269;101112939;Preduzetnik;25.3.2010.;Proizvodnja ostalih alatnih mašina
PROIZVODNO TRGOVINSKO PRIVREDNO DRUŠTVO SWISSMECHANIC DOO BOBOVO;SWISSMECHANIC DOO BOBOVO, SVILAJNAC;BOBOVO BB;35217 Bobovo;Pomoravski;17299778;101476697;Društvo sa ograničenom odgovornošću;5.1.2001.;Mašinska obrada metala
SREDNjA MAŠINSKA ŠKOLA NOVI SAD;SREDNjA MAŠINSKA ŠKOLA NOVI SAD;BULEVAR KRALJA PETRA PRVOG 38;21000 Novi Sad;Južno-Bački;08117861;100236338;Not Found;1.1.2003.;Srednje stručno obrazovanje
MIRJANA VEĆKALOV PR KROJAČKA RADNJA MIA STIL BEOGRAD (NOVI BEOGRAD);MIRJANA VEĆKALOV PR KROJAČKA RADNJA MIA STIL BEOGRAD (NOVI BEOGRAD);Jurija Gagarina 149a;11070 NOVI BEOGRAD;Grad Beograd;62599952;107236800;Preduzetnik;9.9.2011.;Proizvodnja ostale odeće
PREDUZEĆE ZA PROIZVODNJU INDUSTRIJSKE PNEUMATIKE PPT-INDUSTRIJSKA PNEUMATIKA AD, TRSTENIK - U STEČAJU;PPT-INDUSTRIJSKA PNEUMATIKA AD - U STEČAJU;CARA DUŠANA 101;37240 TRSTENIK;Rasinski;07623968;101304965;Akcionarsko društvo;31.12.2003.;Proizvodnja hidrauličnih pogonskih uređaja
SINDIKAT PPT INDUSTRIJSKA PNEUMATIKA NEZAVISNOST TRSTENIK;SINDIKAT PPT INDUSTRIJSKA PNEUMATIKA NEZAVISNOST TRSTENIK;CARA DUŠANA 101;37240 TRSTENIK;Rasinski;17905058;102326801;Not Found;1.1.0001.;Not Found
AKCIONARSKO DRUŠTVO LUKA DUNAV, PANČEVO;LUKA DUNAV AD PANČEVO;LUKA DUNAV 1;26000 Pančevo;Južno-Banatski;08071276;101059042;Akcionarsko društvo;12.1.1974.;Manipulacija teretom
DUNAV AKCIONARSKO DRUŠTVO SMEDEREVO;DUNAV AD;17. OKTOBAR 12;11300 SMEDEREVO;Podunavski;07163070;101604234;Akcionarsko društvo;12.11.1999.;Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima
PRIVREDNO DRUŠTVO ZA PROIZVODNJU SINTETIČKIH TEKSTURIRANIH FILAMENATA, EFEKTNIH I KOMBINOVANIH PREDIVA I KONCA DUNAV AD GROCKA;DUNAV AD GROCKA;Bulevar revolucije 15;11306 GROCKA;Grad Beograd;07030550;102011962;Akcionarsko društvo;8.12.1960.;Priprema i predenje tekstilnih vlakana
DUNAV GRUPA AGREGATI AKCIONARSKO DRUŠTVO NOVI SAD - U STEČAJU;DUNAV GRUPA AGREGATI AD NOVI SAD - U STEČAJU;SUBOTIČKA 76;21000 Novi Sad;Južno-Bački;20495464;105940977;Akcionarsko društvo;27.1.2009.;Izgradnja hidrotehničkih objekata
VODOPRIVREDNO DRUŠTVO DUNAV AD BAČKA PALANKA;VD DUNAV AD BAČKA PALANKA;TRG BRATSTVA I JEDINSTVA 21;21400 Bačka Palanka;Južno-Bački;08760225;101755354;Akcionarsko društvo;17.11.1989.;Izgradnja hidrotehničkih objekata
AKCIONARSKO DRUŠTVO ZA UGOSTITELJSTVO I TRGOVINU DUNAV KOVIN - U STEČAJU;A.D. U.T. DUNAV KOVIN - U STEČAJU;KNIĆANINOVA 1;26220 Kovin;Južno-Banatski;08044422;102059549;Akcionarsko društvo;10.12.1997.;Usluge pripremanja i posluživanja pića
DUNAV DRUŠTVO ZA UPRAVLJANJE DOBROVOLJNIM PENZIJSKIM FONDOM AD BEOGRAD (STARI GRAD);DUNAV DRUŠTVO ZA UPRAVLJANJE DOBROVOLJNIM PENZIJSKIM FONDOM AD BEOGRAD (STARI GRAD);Knez Mihailova 10;11000 BEOGRAD;Grad Beograd;17411233;100057074;Akcionarsko društvo;7.6.2002.;Upravljanje fondovima
DUNAV OSIGURANJE A.D. UDRUŽENJE PENZIONERA DUNAV GRUPE, KOMPANIJE;DUNAV OSIGURANJE A.D. UDRUŽENJE PENZIONERA DUNAV GRUPE, KOMPANIJE;DOBRAČINA 1;11102 Beograd (Stari Grad);Grad Beograd;17326341;106956498;Not Found;2.3.2011.;Delatnost ostalih organizacija na bazi učlanjenja
DUNAV SINDIKALNA ORGANIZACIJA ZA BOLJE BRODOGRADILIŠTE A.D.;DUNAV SINDIKALNA ORGANIZACIJA ZA BOLJE BRODOGRADILIŠTE A.D.;KANALSKA OBALA/BB;25000 Sombor;Zapadno-Bački;17447475;102253498;Not Found;1.1.0001.;Not Found
DUNAV SINDIKAT LUKA A.D.;DUNAV SINDIKAT LUKA A.D.;PRISTANIŠNA ZONA BB;26000 Pančevo;Južno-Banatski;08840571;101863692;Not Found;26.3.2003.;Delatnost sindikata
CAT GRADNJA 2020 DOO PETROVARADIN;CAT GRADNJA 2020 DOO PETROVARADIN;Preradovićeva 97;21132 Petrovaradin;Južno-Bački;21606499;112095637;Društvo sa ograničenom odgovornošću;14.8.2020.;Izgradnja stambenih i nestambenih zgrada
Candy Cat d.o.o. Beograd;Candy Cat d.o.o.;VLADIMIRA POPOVIĆA 38-40;11070 NOVI BEOGRAD;Grad Beograd;21785512;112998907;Društvo sa ograničenom odgovornošću;21.4.2022.;Trgovina na malo hlebom, testeninom, kolačima i slatkišima u specijalizovanim prodavnicama
PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE CAT DOO ČAČAK;CAT DOO ČAČAK;ČAČANSKI BATALjON 24;32000 Čačak;Moravički;06076718;101115931;Društvo sa ograničenom odgovornošću;14.7.1992.;Proizvodnja ambalaže od plastike
CAT RECYCLING DOO HUM;CAT RECYCLING;Pobede 42;18118 Hum;Grad Niš;20642980;106607953;Društvo sa ograničenom odgovornošću;28.4.2010.;Ponovna upotreba razvrstanih materijala
RED CAT DOO GRDELICA (VAROŠ);RED CAT DOO GRDELICA;ŽELEZNIČKA BB;16220 GRDELICA;Jablanički;20760494;107235448;Društvo sa ograničenom odgovornošću;8.9.2011.;Proizvodnja parfema i toaletnih preparata
CAT CARS DOO BEOGRAD (ČUKARICA);CAT CARS DOO;Trgovačka 18;11030 BEOGRAD-ČUKARICA;Grad Beograd;21111651;109014867;Društvo sa ograničenom odgovornošću;4.6.2015.;Iznajmljivanje i lizing automobila i lakih motornih vozila
CAT CARGO DOO NOVI SAD;CAT CARGO DOO;OMLADINSKA 32;21000 Novi Sad;Južno-Bački;21856851;113382166;Društvo sa ograničenom odgovornošću;17.11.2022.;Drumski prevoz tereta
PREDUZEĆE ZA TRGOVINSKO-KOMERCIJALNE I EKONOMSKE POSLOVE CAT DOO BEOGRAD;CAT DOO BEOGRAD;OSLOBOĐENjA 2K;11194 Rušanj;Grad Beograd;06012230;101968237;Društvo sa ograničenom odgovornošću;25.3.1992.;Drumski prevoz tereta
PRIVREDNO DRUŠTVO ZA TRGOVINU I USLUGE RED CAT CONCEPT DOO, NOVI SAD - U LIKVIDACIJI;RED CAT CONCEPT DOO NOVI SAD - U LIKVIDACIJI;BULEVAR CARA LAZARA 69 XV, 63;21000 Novi Sad;Južno-Bački;20713623;106958616;Društvo sa ograničenom odgovornošću;22.2.2011.;Trgovina na veliko parfimerijskim i kozmetičkim proizvodima
BLACK CAT WEB EDUCATION DOO KALUĐERICA;BLACK CAT WEB EDUCATION DOO;Zage Malivuk 24;11130 Kaluđerica;Grad Beograd;21572225;111925584;Društvo sa ograničenom odgovornošću;26.3.2020.;Ostalo obrazovanje
PRIVREDNO DRUŠTVO ZA PRUŽANJE USLUGA PRO TENT DOO OBRENOVAC, UŠĆE;PRO TENT D.O.O. OBRENOVAC;SAVSKA 24;11500 OBRENOVAC;Raški;17522124;103205500;Društvo sa ograničenom odgovornošću;22.9.2003.;Delatnost privatnog obezbeđenja
"Fudbalski Klub veterana ""TENT 1994""";"Fudbalski Klub veterana ""TENT 1994""";BOGOLJUBA UROŠEVIĆA-CRNOG 44;11500 OBRENOVAC;Grad Beograd;17098110;101211716;Udruženje, savez;8.2.1996.;Delatnost sportskih klubova
PRO TENT ODBOJKAŠKI KLUB;PRO TENT ODBOJKAŠKI KLUB;POLJAČKI KRAJ BB;11500 OBRENOVAC;Grad Beograd;17670999;104559106;Not Found;5.9.2006.;Delatnost sportskih klubova
PRO TENT ŽENSKI KOŠARKAŠKI KLUB;PRO TENT ŽENSKI KOŠARKAŠKI KLUB;KRALJA ALEKSANDRA PRVOG 55/D;11500 OBRENOVAC;Grad Beograd;17606867;103997582;Not Found;26.8.2005.;Delatnost sportskih klubova
SAVA - TENT SINDIKALANA ORGANIZACIJA RADNIKA;SAVA - TENT SINDIKALANA ORGANIZACIJA RADNIKA;MILOŠA OBRENOVIĆA 189;11500 OBRENOVAC;Grad Beograd;17742086;102294921;Not Found;9.10.2009.;Delatnost sindikata
SD TENT;SD TENT;BOGOLJUBA UROŠEVIĆA-CRNOG 44;11500 OBRENOVAC;Grad Beograd;17238205;101934767;Udruženje, savez;4.1.1999.;Ostale sportske delatnosti
SINDIKALNA ORGANIZACIJA SAVA TENT-USLUGE;SIND.ORG.SAVA TENT-USLUGE;BOGOLJUBA UROŠEVIĆA-CRNOG 44;;Not Found;17640844;104230054;Not Found;23.8.2010.;Delatnost sindikata
"SINDIKAT ""NEZAVISNOST"" - PROTENT";"SINDIKAT ""NEZAVISNOST"" - PROTENT";"SAVSKA (KRUG TENT ""B"") BB";11500 OBRENOVAC;Grad Beograd;17790790;106629164;Not Found;27.5.2010.;Delatnost sindikata
SINDIKAT RADNIKA ELEKTROPRIVREDE - SINDIKAT RADNIKA JP TENT - SINDIKALNA ORGANIZACIJA PRO TENT;SINDIKAT RADNIKA ELEKTROPRIVREDE - SINDIKAT RADNIKA JP TENT - SINDIKALNA ORGANIZACIJA PRO TENT;UŠĆE BB;11500 OBRENOVAC;Grad Beograd;17606328;103975657;Not Found;17.8.2005.;Delatnost sindikata
SINDIKAT SMENSKIH RADNIKA TENT-JP EPS;SINDIKAT SMENSKIH RADNIKA TENT-JP EPS;BOGOLjUBA UROŠEVIĆA - CRNOG 44;11500 OBRENOVAC;Grad Beograd;17801678;106978102;Not Found;14.3.2011.;Delatnost sindikata
FERMES DOO ZA PROIZVODNJU, TRGOVINU I USLUGE, BUKOVAC;DOO FERMES BUKOVAC;Kralja Petra Prvog 70;21209 Bukovac;Južno-Bački;08274304;100398161;Društvo sa ograničenom odgovornošću;27.1.1992.;Livenje ostalih obojenih metala
SIGIT DOO GROŠNICA;SIGIT DOO KRAGUJEVAC;OKTOBARSKIH ŽRTAVA BB;34202 GROŠNICA;Šumadijski;20730986;107044072;Društvo sa ograničenom odgovornošću;18.4.2011.;Proizvodnja ostalih proizvoda od plastike
MULTITEST DOO BEČEJ;MULTITEST DOO BEČEJ;TOPOLSKI PUT 65;21220 Bečej;Južno-Bački;20429534;105642765;Društvo sa ograničenom odgovornošću;9.6.2008.;Računarsko programiranje
PREDUZEĆE ZA PROIZVODNJU, PROMET I USLUGE MPK TREJD DOO VALJEVO;MPK TREJD DOO VALJEVO;BRANKA RADIČEVIĆA 17;14000 VALJEVO;Kolubarski;17612646;103541213;Društvo sa ograničenom odgovornošću;11.9.2004.;Proizvodnja ploča, listova, cevi i profila od plastike
DOO ALATNICA-BOKAN R&M PREDUZEĆE ZA PROIZVODNJU, TRGOVINU I USLUGE FUTOG;DOO ALATNICA-BOKAN R&M FUTOG;Industrijska 82;21410 Futog;Južno-Bački;08762724;100456566;Društvo sa ograničenom odgovornošću;11.7.2002.;Mašinska obrada metala
PREDUZEĆE ZA PROIZVODNJU,TRGOVINU I USLUGE TIM SISTEM DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU, NOVA PAZOVA;TIM SISTEM DOO NOVA PAZOVA;PRVA INDUSTRIJSKA 9;22330 Nova Pazova;Sremski;08783063;102782481;Društvo sa ograničenom odgovornošću;4.3.2003.;Proizvodnja neelektričnih aparata za domaćinstvo
PRIVREDNO DRUŠTVO TIM SISTEM INVEST DOO NOVA PAZOVA;TIM SISTEM INVEST DOO;Prva industrijska 9;22330 Nova Pazova;Sremski;21723312;112707088;Društvo sa ograničenom odgovornošću;8.10.2021.;Izgradnja stambenih i nestambenih zgrada
PREDUZEĆE ZA PROIZVODNJU, TRGOVINU I USLUGE WP TIM SISTEM DOO, BEOGRAD (VRAČAR);WP TIM SISTEM DOO BEOGRAD;Kneginje Zorke 2;11000 BEOGRAD;Grad Beograd;17383124;102054384;Društvo sa ograničenom odgovornošću;17.4.2002.;Nespecijalizovana trgovina na veliko
TIM INŽENJERING SISTEM DOO NOVI SAD;TIM INŽENJERING SISTEM DOO NOVI SAD;BRAĆE RIBNIKAR 29;21000 Novi Sad;Južno-Bački;20443529;105723838;Društvo sa ograničenom odgovornošću;24.9.2008.;Inženjerske delatnosti i tehničko savetovanje
DRUŠTVO ZA GRAĐEVINARSTVO, KONSALTING, INŽENJERING I TRGOVINU TIM SISTEM PLUS DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD;TIM SISTEM PLUS DOO BEOGRAD;STEVANA SINĐELIĆA 16 J;11000 BEOGRAD;Grad Beograd;20311304;105085198;Društvo sa ograničenom odgovornošću;20.7.2007.;Ostali instalacioni radovi u građevinarstvu
RADNJA ZA PROMET ROBE NA VELIKO TIM-SISTEM PANAJOTOVIĆ SAŠA PREDUZETNIK, NIŠ;TIM-SISTEM;Knjaževačka 158/1;18103 NIŠ;Grad Niš;55949107;102772380;Preduzetnik;20.4.2003.;Trgovina na veliko metalnom robom, instalacionim materijalima, opremom i priborom za grejanje
Mirrad tim sistem doo Novi Sad;Mirrad tim sistem doo Novi Sad;BULEVAR OSLOBOĐENjA 15;21000 Novi Sad;Južno-Bački;21384801;110771447;Društvo sa ograničenom odgovornošću;11.5.2018.;Nespecijalizovana trgovina na veliko
DRUŠTVO ZA PROIZVODNJU, TRGOVINU I USLUGE TIM-SISTEM DOO ČAČAK;TIM-SISTEM DOO ČAČAK;DR DRAGIŠE MIŠOVIĆA 64;32000 Čačak;Moravički;17212117;101124127;Društvo sa ograničenom odgovornošću;20.4.1998.;Nespecijalizovana trgovina na veliko
TOMIĆ TIM SISTEM DOO BEOGRAD-RAKOVICA;TOMIĆ TIM SISTEM DOO;OPLENAČKA 44 B;11090 BEOGRAD-RAKOVICA;Grad Beograd;20842873;107644095;Društvo sa ograničenom odgovornošću;6.7.2012.;Ostale uslužne aktivnosti podrške poslovanju
ALEKSANDRA ZLATKOVIĆ PREDUZETNIK GRAĐEVINSKA RADNJA TIM SISTEM DOMIS SURDULICA;ALEKSANDRA ZLATKOVIĆ PREDUZETNIK GRAĐEVINSKA RADNJA TIM SISTEM DOMIS SURDULICA;TOME IVANOVIĆA 27;17530 SURDULICA;Pčinjski;64328450;109646931;Preduzetnik;5.8.2016.;Ostali nepomenuti specifični građevinski radovi
SPRESA DEMA PR TRGOVINSKA RADNJA PECA STIL 023 ZRENJANIN;PECA STIL 023;BULEVAR MILUTINA MILANKOVIĆA BB;23000 Zrenjanin;Srednje-Banatski;63306673;108228735;Preduzetnik;16.9.2013.;Trgovina na malo ostalom robom na tezgama i pijacama
DRUŠTVO ZA PROIZVODNJU, PROMET I USLUGE KONELEK DOO BEOGRAD (ZEMUN);KONELEK DOO BEOGRAD-ZEMUN;PUKOVNIKA MILENKA PAVLOVIĆA 136A;11080 ZEMUN;Grad Beograd;07489609;100095172;Društvo sa ograničenom odgovornošću;26.3.1990.;Proizvodnja vazdušnih i svemirskih letelica i odgovarajuće opreme
ANDRIJA EKMEDŽIĆ PR AGENCIJA ZA INŽENJERSKI KONSALTING KONELEK AVIO BEOGRAD;ANDRIJA EKMEDŽIĆ PR KONELEK AVIO;BRAĆE RADIŠIĆ 11;11080 ZEMUN;Grad Beograd;63645591;108709531;Preduzetnik;9.10.2014.;Inženjerske delatnosti i tehničko savetovanje
DRUŠTVO ZA PROIZVODNJU, TRGOVINU I USLUGE TERMOPLAST DOO, BEOGRAD (ZVEZDARA);TERMOPLAST DOO BEOGRAD MALI MOKRI LUG;MIKENSKA 16;11050 BEOGRAD-ZVEZDARA;Grad Beograd;17328921;100024309;Društvo sa ograničenom odgovornošću;15.1.2001.;Nespecijalizovana trgovina na veliko
TERMOPLAST PREDUZEĆE ZA PROIZVODNJU, TRGOVINU I USLUGE DOO BEOGRAD (RAKOVICA);TERMOPLAST DOO BEOGRAD;Luke Vojvodića 15;11090 BEOGRAD-RAKOVICA;Grad Beograd;17328166;100178015;Društvo sa ograničenom odgovornošću;9.1.2001.;Ugradnja stolarije
SAMOSTALNA ZANATSKO TRGOVINSKA RADNJA NA VELIKO TERMOPLAST VELJKOVIĆ ZORAN PREDUZETNIK BOR;TERMOPLAST;ZELENI BULEVAR 21;19210 BOR;Borski;54896255;100629699;Preduzetnik;1.2.2001.;Proizvodnja ploča, listova, cevi i profila od plastike
DRUŠTVO ZA PROIZVODNJU I PROMET ROBA I USLUGA TERMOPLAST DOO ADA;TERMOPLAST DOO ADA;SAVE KOVAČEVIĆA 56;24430 Ada;Severno-Banatski;08628866;101092866;Društvo sa ograničenom odgovornošću;27.3.1996.;Proizvodnja žičanih proizvoda, lanaca i opruga
SAMOSTALNA ZANATSKA RADNJA TERMO-PLAST VIDIĆ ĐORĐE PREDUZETNIK NOVI SAD;SZR TERMO-PLAST;TEMERINSKI PUT 87;21000 Novi Sad;Južno-Bački;53714307;101645131;Preduzetnik;6.6.1984.;Proizvodnja ambalaže od plastike
SAMOSTALNA ZANATSKA RADNJA PMV TERMOPLAST BOŽIDAR VUJANOVIĆ PREDUZETNIK BEOGRAD (VRAČAR);SAMOSTALNA ZANATSKA RADNJA PMV TERMOPLAST BOŽIDAR VUJANOVIĆ PREDUZETNIK BEOGRAD (VRAČAR);Gružanska 17;11000 BEOGRAD;Grad Beograd;56525599;103446503;Preduzetnik;1.7.2004.;Proizvodnja predmeta od plastike za građevinarstvo
FEHIM ULUČ PREDUZETNIK SAMOSTALNA ZANATSKA RADNJA TERMOPLAST NOVI PAZAR;TERMOPLAST;PODBIJELJE BB;36300 NOVI PAZAR;Raški;60103780;104333272;Preduzetnik;1.4.2006.;Proizvodnja predmeta od plastike za građevinarstvo
TERMOPLAST RADNJA ZA PROIZVODNJU USLUGE I PROMET RADANOVIĆ BOJAN PR SOMBOR;TERMOPLAST;BUKOVAC 2A;25000 Sombor;Zapadno-Bački;55584265;100188490;Preduzetnik;1.7.2002.;Proizvodnja ambalaže od plastike
NEBOJŠA RANĐELOVIĆ PREDUZETNIK, SAMOSTALNA ZANATSKO TRGOVINSKA RADNJA TERMOPLAST STARA PAZOVA;NEBOJŠA RANĐELOVIĆ PREDUZETNIK, SAMOSTALNA ZANATSKO TRGOVINSKA RADNJA TERMOPLAST STARA PAZOVA;JANKA BAKA 60;22300 Stara Pazova;Sremski;55966737;101359870;Preduzetnik;3.9.2002.;Proizvodnja ostalih proizvoda od plastike
ZANATSKA RADNJA TERMO-PLAST VASIĆ VELIBOR PR RADINAC;TERMO-PLAST;TOŠINA BB;11311 Radinac;Podunavski;60050686;101603633;Preduzetnik;10.4.2006.;Proizvodnja predmeta od plastike za građevinarstvo
Sinterfuse d.o.o. Užice;Sinterfuse d.o.o.;Miloša Obrenovića 2;31000 Užice;Zlatiborski;21157309;109298154;Društvo sa ograničenom odgovornošću;14.12.2015.;Livenje ostalih obojenih metala
SUPREMATEC D.O.O. NOVA PAZOVA;SUPREMATEC D.O.O.;ŠESTA INDUSTRISKA 3;22330 Nova Pazova;Sremski;21200417;109543495;Društvo sa ograničenom odgovornošću;1.6.2016.;Mašinska obrada metala
SR METALOSTRUGARSKA, METALOBRUSAČKA, ALATNIČARSKA I IZRADA PREDMETA OD PLASTIKE, GUME I METALA ALATVERK VEREŠ JAN PREDUZETNIK STARA PAZOVA;SR METALOSTRUGARSKA, METALOBRUSAČKA, ALATNIČARSKA I IZRADA PREDMETA OD PLASTIKE, GUME I METALA ALATVERK VEREŠ JAN PREDUZETNIK STARA PAZOVA;Vere Miščević 109;22300 Stara Pazova;Sremski;52606900;100535356;Preduzetnik;1.12.1992.;Proizvodnja ostalih proizvoda od plastike
DRUŠTVO ZA PROJEKTOVANJE KONSALTING INŽENJERING PROIZVODNJU TRGOVINU I USLUGE LEGAS GROUP DOO BEOGRAD-PALILULA;LEGAS GROUP DOO BEOGRAD;TREĆA SUTJESKA 2A 1 8;11060 BEOGRAD-PALILULA;Grad Beograd;20816350;107503976;Društvo sa ograničenom odgovornošću;3.4.2012.;Proizvodnja metalnih konstrukcija i delova konstrukcija
KOMPANIJA ZA KONSALTING INŽENJERING DEVELOPMENT IZVOĐENJE INVESTICIONIH RADOVA U ZEMLJI I INOSTRANSTVU I OBAVLJANJE SPOLJNOTRGOVINSKOG PROMETA IMEL GROUP DOO BEOGRAD (NOVI BEOGRAD);IMEL GROUP DOO BEOGRAD;BULEVAR ZORANA ĐINĐIĆA 2A;11070 NOVI BEOGRAD;Grad Beograd;07086415;100388761;Društvo sa ograničenom odgovornošću;26.3.1991.;Arhitektonska delatnost
OTB INŽENJERING DOO NOVI SAD;OTB INŽENJERING DOO;VLADE ŽIVANOVIĆA 2A;21000 Novi Sad;Južno-Bački;21307181;110152878;Društvo sa ograničenom odgovornošću;25.7.2017.;Izgradnja električnih i telekomunikacionih vodova
PREDUZEĆE ZA PLANIRANJE RAZVOJ I INŽENJERING ELBING DOO NOVI SAD;ELBING DOO NOVI SAD;Vlade Živanovića 2 a;21000 Novi Sad;Južno-Bački;20480963;106007619;Društvo sa ograničenom odgovornošću;28.11.2008.;Kablovske telekomunikacije
FILIP KODIĆ PR INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE SVETLOST INŽENJERING PARAĆIN;FILIP KODIĆ PR SVETLOST INŽENJERING;TAKOVSKA 2A;35250 PARAĆIN;Pomoravski;63886513;109048971;Preduzetnik;1.7.2015.;Inženjerske delatnosti i tehničko savetovanje
PREDUZEĆE ZA INFORMATIČKI INŽENJERING I TRGOVINU SOFT PROJEKT DOO, VRNJAČKA BANJA;SOFT PROJEKT DOO VRNJAČKA BANJA;MILOŠA OBILIĆA 2 A;36210 VRNJAČKA BANJA;Raški;07606869;100919317;Društvo sa ograničenom odgovornošću;14.4.1993.;Računarsko programiranje
INŽENJERING DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA UNUTRAŠNJU PROIZVODNJU I PROMET BEOGRAD (SAVSKI VENAC);INŽENJERING DOO BEOGRAD;DR. MILUTINA IVKOVIĆA 2 A;11000 BEOGRAD;Grad Beograd;17070355;100266533;Društvo sa ograničenom odgovornošću;20.3.1995.;Krovni radovi
