Puni naziv;Skraćeni naziv;Adresa;Pošta i mesto;Region;Matični broj;Poreski br.;Pravni oblik:;Datum osnivanja:;Delatnost:
Metalika promet 1999 doo Osipaonica;Metalika promet 1999 doo Osipaonica;Podunavska 55;11314 Osipaonica;Podunavski;21191949;109486683;Društvo sa ograničenom odgovornošću;28.4.2016.;Trgovina na veliko otpacima i ostacima
METALIKA KACIN DOO DRUŠTVO ZA TRGOVINU NA VELIKO SREMČICA;METALIKA KACIN DOO BEOGRAD, SREMČICA;KIR-JANjINA 2;11250 BEOGRAD;Grad Beograd;20226617;104833258;Društvo sa ograničenom odgovornošću;18.9.2006.;Nespecijalizovana trgovina na veliko
PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE METALIKA DOO LOZNICA;METALIKA DOO LOZNICA;Prote Ignjata Vasića 12;15300 LOZNICA;Mačvanski;17610856;103500188;Društvo sa ograničenom odgovornošću;30.8.2004.;Proizvodnja žičanih proizvoda, lanaca i opruga
METALIKA BAUGERATE DOO SOPOT;METALIKA BAUGERATE DOO;Milosava Vlajića 49e;11450 SOPOT;Grad Beograd;21464775;111336149;Društvo sa ograničenom odgovornošću;15.3.2019.;Proizvodnja karoserija za motorna vozila, prikolice i poluprikolice
PRIVREDNO DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA INŽENJERING, PROIZVODNJU, KOOPERACIJU, TRGOVINU, USLUGE I MARKETING METALIKA PLUS DOO, VELIKI VRTOP;METALIKA PLUS DOO VELIKI VRTOP;VELIKI VRTOP;18245 LIČKI HANOVI;Nišavski;20598034;106419991;Društvo sa ograničenom odgovornošću;30.12.2009.;Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU USLUGE I PROMET EVROKOMERC DOO BRUS;PREDUZEĆE EVROKOMERC DOO BRUS;Ive Lole Ribara 2;37220 BRUS;Rasinski;07363559;101141356;Društvo sa ograničenom odgovornošću;20.10.1989.;Proizvodnja ostalih delova i dodatne opreme za motorna vozila
EVRO - KOMERC S.T.K.R. GORAN KLJUČEVIĆ;EVRO - KOMERC S.T.K.R. GORAN KLJUČEVIĆ;ROBNA PIJACA KIOSK BR. 27;32000 Čačak;Moravički;56639845;103389744;Preduzetnik;14.6.2004.;Not Found
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU I USLUGE STAX TECHNOLOGIES KONJEVIĆI;DOO STAX TECHNOLOGIES KONJEVIĆI;KONJEVIĆI BB;32103 ČAČAK;Moravički;20899425;107930475;Društvo sa ograničenom odgovornošću;13.2.2013.;Proizvodnja ostalih mašina i aparata opšte namene
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU PROMET I USLUGE GOMMA LINE KRAGUJEVAC;GOMMA LINE DOO KRAGUJEVAC;19. OKTOBRA 2;34000 KRAGUJEVAC;Šumadijski;20241225;104813259;Društvo sa ograničenom odgovornošću;10.1.2007.;Proizvodnja ostalih delova i dodatne opreme za motorna vozila
Oldrati Gomma Line d.o.o. Kragujevac;Oldrati Gomma Line d.o.o.;19.oktobra 2;34000 KRAGUJEVAC;Šumadijski;21635553;112250852;Društvo sa ograničenom odgovornošću;27.11.2020.;Proizvodnja ostalih proizvoda od gume
